x   y   freq
15  12  0
15  13  0
15  14  0
15  15  0
15  16  0
15  17  0
15  18  0.14285715
15  19  0
15  20  0
15  21  0
15  22  0
15  23  0
15  24  0
15  25  0.028571429
15  26  0
15  27  0
15  28  0
15  29  0
15  30  0.085714288
15  31  0
15  32  0
15  33  0
15  34  0
15  35  0
15  36  0.11428571
15  37  0
15  38  0
15  39  0
15  40  0
15  41  0.028571429
15  42  0.17142858
15  43  0
15  44  0
15  45  0
15  46  0
15  47  0
15  48  0
15  49  0
15  50  0
15  51  0
15  52  0
15  53  0.085714288
15  54  0
15  55  0
15  56  0
15  57  0
15  58  0
15  59  0.085714288
15  60  0
15  61  0
15  62  0
15  63  0.057142857
15  64  0
15  65  0
15  66  0.028571429
15  67  0
15  68  0.17142858
